INSERT INTO Transactions (TypeID,CategoryID,amount,date,description) VALUES
('I','E',9361,'1970-08-20','Wear community college probably church.'),
('I','E',2016,'1999-07-30','Find add sing standard exactly.'),
('I','E',2297,'1979-08-24','Seek choice produce.'),
('I','E',1377,'1971-01-26','More walk quite piece physical market.'),
('I','E',319,'2009-01-01','Door research tell time special beyond could.'),
('I','M',4388,'1994-03-28','Recent state old great notice north.'),
('I','E',9614,'2008-07-06','Guess attorney response provide likely fire.'),
('I','E',7610,'2022-01-15','Image central challenge term memory.'),
('I','E',9218,'2021-12-30','Role mind statement.'),
('I','E',5523,'1992-04-25','Site military lead travel series.'),
('I','M',1494,'1974-11-16','Possible lead draw learn city.'),
('I','E',1595,'1970-03-03','Billion parent now from.'),
('I','E',5611,'2019-12-07','Affect though cover including.'),
('I','E',2896,'2018-05-29','Group strong back approach.'),
('I','M',8250,'1982-04-18','Law enough we. Group but go computer.'),
('I','M',9485,'2006-06-13','So teach energy possible believe step.'),
('I','E',1689,'1972-07-03','Heavy church nature. Civil single city quite.'),
('I','E',9425,'1986-03-18','Difficult there leg theory case north.'),
('I','E',6711,'2018-11-22','Yourself affect station member.'),
('I','M',1422,'1980-01-19','Purpose here ago job.'),
('I','E',1947,'2008-07-10','Whom it job likely different house.'),
('I','M',6333,'2011-08-15','Certain hotel should.'),
('I','M',9086,'1980-10-27','Truth ten seven both happy central group line.'),
('I','M',815,'1989-10-23','Issue radio especially road get car party.'),
('I','E',2045,'2018-02-11','Sing nation network college.'),
('I','E',5387,'2012-06-02','Respond friend budget while take.'),
('I','M',5938,'1979-11-03','Worker season figure they yeah get.'),
('I','E',4383,'2010-07-10','Blood single recently other owner message entire.'),
('I','E',5928,'1995-02-12','Tv collection still support these military part.'),
('I','M',6334,'1981-08-29','North trouble upon beautiful open free.'),
('I','E',5368,'1988-01-21','Discover hair few participant.');
