INSERT INTO Transactions (TypeID,CategoryID,amount,date,description) VALUES
('E','T',555,'2019-12-07','Affect though cover including.'),
('E','S',5475,'2018-05-29','Group strong back approach.'),
('E','T',9326,'1982-04-18','Law enough we. Group but go computer.'),
('E','S',9240,'2006-06-13','So teach energy possible believe step.'),
('E','S',4472,'1972-07-03','Heavy church nature. Civil single city quite.'),
('E','I',4003,'1986-03-18','Difficult there leg theory case north.'),
('E','I',1202,'2018-11-22','Yourself affect station member.'),
('E','T',4532,'1980-01-19','Purpose here ago job.'),
('E','I',900,'2008-07-10','Whom it job likely different house.'),
('E','T',6105,'2011-08-15','Certain hotel should.'),
('E','I',6860,'1980-10-27','Truth ten seven both happy central group line.'),
('E','I',8614,'1989-10-23','Issue radio especially road get car party.'),
('E','T',1915,'2018-02-11','Sing nation network college.'),
('E','I',2859,'2012-06-02','Respond friend budget while take.'),
('E','T',4739,'1979-11-03','Worker season figure they yeah get.'),
('E','S',4695,'2010-07-10','Blood single recently other owner message entire.'),
('E','S',264,'1995-02-12','Tv collection still support these military part.'),
('E','T',8528,'1981-08-29','North trouble upon beautiful open free.'),
('E','I',4840,'1988-01-21','Discover hair few participant.');
